Year Month Day Decimal_day Altitude Solar_time Latitude Longitude Observed_density DTM2020_Density Observed_to_Modeled_Ratio
2000 1 2 2.04514 805.98 10.86 -2.25 147.68 1.86e-17 1.769343689003616e-17 1.0512372534289458
2000 1 2 2.11736 805.97 10.82 -1.94 121.05 1.84e-17 1.756762642827511e-17 1.0473811061000924
2000 1 2 2.18958 805.93 10.78 -1.62 94.43 1.82e-17 1.68771166697592e-17 1.078383254446014
2000 1 2 2.26181 805.83 10.73 -1.3 67.8 1.81e-17 1.690947394414735e-17 1.070405860039467
2000 1 2 2.33403 805.76 10.69 -0.99 41.18 1.78e-17 1.671197875928464e-17 1.0651042737898941
2000 1 2 2.40625 805.8 10.65 -0.67 14.55 1.76e-17 1.649913974309019e-17 1.066722282134185
2000 1 2 2.47917 805.87 10.76 -3.11 350.01 1.77e-17 1.716614017820121e-17 1.0310995841963777
2000 1 2 2.55139 805.96 10.72 -2.79 323.38 1.71e-17 1.694012985603469e-17 1.0094373623652217
2000 1 2 2.62361 806.0 10.68 -2.48 296.76 1.68e-17 1.673145341033694e-17 1.004096870007761
2000 1 2 2.69583 806.09 10.64 -2.16 270.14 1.65e-17 1.608360820461176e-17 1.0258892028511888
2000 1 2 2.76806 806.21 10.59 -1.84 243.51 1.62e-17 1.625945714300148e-17 0.9963432270537351
2000 1 2 2.84028 806.3 10.55 -1.52 216.89 1.58e-17 1.606164178967949e-17 0.9837101466272513
2000 1 2 2.91319 806.32 10.66 -3.96 192.34 1.62e-17 1.683562812492966e-17 0.9622450602844783
2000 1 2 2.98542 806.28 10.62 -3.64 165.72 1.63e-17 1.673184426124853e-17 0.9741902772637746
2000 1 3 3.05764 806.31 10.58 -3.33 139.09 1.67e-17 1.604269493724348e-17 1.0409722347353605
2000 1 3 3.12986 806.34 10.54 -3.02 112.47 1.68e-17 1.613727049041754e-17 1.041068253145784
2000 1 3 3.20208 806.32 10.5 -2.7 85.84 1.7e-17 1.595907642608404e-17 1.0652245497248598
2000 1 3 3.27431 806.26 10.45 -2.38 59.22 1.71e-17 1.549612287857481e-17 1.103501832941886
2000 1 3 3.34722 806.16 10.57 -4.81 34.67 1.79e-17 1.623668269406597e-17 1.1024419419455627
2000 1 3 3.41944 806.16 10.52 -4.5 8.05 1.79e-17 1.574832190211942e-17 1.1366290396687284
2000 1 3 3.49167 806.27 10.48 -4.18 341.43 1.76e-17 1.54978733015457e-17 1.1356396879463868
2000 1 3 3.56389 806.4 10.44 -3.87 314.81 1.69e-17 1.526660524277131e-17 1.1069913534315101
2000 1 3 3.63611 806.5 10.4 -3.55 288.18 1.63e-17 1.488926321370325e-17 1.0947485960889178
2000 1 3 3.70903 806.64 10.51 -5.98 263.64 1.65e-17 1.551480636892315e-17 1.063500220863229
2000 1 3 3.78125 806.66 10.47 -5.67 237.02 1.63e-17 1.53646533352668e-17 1.060876522517191
2000 1 3 3.85347 806.69 10.43 -5.35 210.39 1.59e-17 1.52376536344863e-17 1.043467739942235
2000 1 3 3.92569 806.71 10.38 -5.03 183.76 1.53e-17 1.547480347452282e-17 0.9887039938949396
2000 1 3 3.99792 806.73 10.34 -4.72 157.14 1.51e-17 1.537397894489428e-17 0.9821790477353771
2000 1 4 4.07014 806.81 10.3 -4.41 130.52 1.49e-17 1.432818122829e-17 1.0399086780519626
2000 1 4 4.14306 806.83 10.41 -6.83 105.98 1.59e-17 1.540944050690558e-17 1.0318349970509688
2000 1 4 4.21528 806.73 10.37 -6.52 79.36 1.59e-17 1.522289289934546e-17 1.0444795286370079
2000 1 4 4.2875 806.62 10.33 -6.2 52.73 1.6e-17 1.49966002996593e-17 1.0669084779410636
2000 1 4 4.35972 806.6 10.29 -5.89 26.1 1.62e-17 1.474226161750583e-17 1.0988815977029716
2000 1 4 4.43194 806.68 10.24 -5.57 359.48 1.65e-17 1.444801558981089e-17 1.142025345794631
2000 1 4 4.50417 806.85 10.2 -5.26 332.85 1.65e-17 1.454939075133797e-17 1.1340681051186043
2000 1 4 4.57708 806.94 10.32 -7.68 308.33 1.72e-17 1.521543969779485e-17 1.130430690247668
2000 1 4 4.64931 806.99 10.28 -7.37 281.7 1.67e-17 1.52515046007084e-17 1.0949739345208156
2000 1 4 4.72153 807.09 10.23 -7.05 255.07 1.62e-17 1.504049079972319e-17 1.077092510857302
2000 1 4 4.79375 807.15 10.19 -6.74 228.44 1.57e-17 1.447627263689485e-17 1.0845333183340515
2000 1 4 4.86597 807.23 10.15 -6.42 201.81 1.57e-17 1.436423590966227e-17 1.0929923525858563
2000 1 4 4.93819 807.28 10.11 -6.11 175.19 1.59e-17 1.409939442043949e-17 1.1277080082922017
2000 1 5 5.01111 807.27 10.22 -8.53 150.67 1.73e-17 1.656014819664432e-17 1.044676641450926
2000 1 5 5.08333 807.28 10.18 -8.22 124.05 1.78e-17 1.643151468063409e-17 1.083284185661763
2000 1 5 5.15556 807.27 10.14 -7.9 97.42 1.81e-17 1.659668397646896e-17 1.0905793003989512
2000 1 5 5.22778 807.2 10.09 -7.59 70.78 1.84e-17 1.629776025781133e-17 1.1289894874469693
2000 1 5 5.3 807.16 10.05 -7.27 44.16 1.85e-17 1.535587038174298e-17 1.2047509870879844
2000 1 5 5.37292 807.21 10.17 -9.69 19.65 1.94e-17 1.610538290223106e-17 1.2045662073214376
2000 1 5 5.44514 807.26 10.12 -9.38 353.02 1.93e-17 1.573688979589738e-17 1.2264176880130104
2000 1 5 5.51736 807.38 10.08 -9.06 326.39 1.84e-17 1.543423427573951e-17 1.1921550283140554
2000 1 5 5.58958 807.45 10.04 -8.75 299.76 1.77e-17 1.518936825767718e-17 1.1652887532734528
2000 1 5 5.66181 807.58 10.0 -8.44 273.14 1.73e-17 1.436235655004903e-17 1.204537705195805
2000 1 5 5.73403 807.7 9.95 -8.12 246.5 1.72e-17 1.416967462789895e-17 1.2138599122194793
2000 1 5 5.80694 807.77 10.07 -10.53 222.01 1.8e-17 1.544763247395232e-17 1.1652271006804094
2000 1 5 5.87917 807.77 10.03 -10.22 195.37 1.82e-17 1.594444080395837e-17 1.1414636752567493
2000 1 5 5.95139 807.76 9.98 -9.91 168.74 1.84e-17 1.585407931434332e-17 1.160584581114929
